raw_step,step,output
208,0,0
209,1,0.0168839
210,2,0.030391
211,3,0.151955
212,4,0.334301
213,5,0.540284
214,6,0.759775
215,7,0.94212
216,8,1.13122
217,9,1.32201
218,10,1.51955
219,11,1.70189
220,12,1.87411
221,13,2.0362
222,14,2.16114
223,15,2.26244
224,16,2.34011
225,17,2.38063
226,18,2.43128
227,19,2.44816
228,20,2.44647
229,21,2.44816
230,22,2.43128
231,23,2.41439
232,24,2.41439
233,25,2.41608
234,26,2.39751
235,27,2.38569
236,28,2.38063
237,29,2.3705
238,30,2.36374
239,31,2.3553
240,32,2.32998
241,33,2.32491
242,34,2.27932
243,35,2.26244
244,36,2.24893
245,37,2.22867
246,38,2.21854
247,39,2.21179
248,40,2.18815
249,41,2.1949
250,42,2.18815
251,43,2.17802
252,44,2.16114
253,45,2.17296
254,46,2.16114
255,47,2.15776
256,48,2.16114
257,49,2.14256
258,50,2.14425
259,51,2.15776
260,52,2.12737
261,53,2.14425
262,54,2.12737
263,55,2.12737
264,56,2.15776
265,57,2.21179
266,58,2.21854
267,59,2.22867
268,60,2.24893
269,61,2.26244
270,62,2.26244
271,63,2.27932
272,64,2.26413
273,65,2.27932
274,66,2.27932
275,67,2.27932
276,68,2.26244
277,69,2.24893
278,70,2.26244
279,71,2.24893
280,72,2.24556
281,73,2.24556
282,74,2.23374
283,75,2.22867
284,76,2.24893
285,77,2.22867
286,78,2.24893
287,79,2.24556
288,80,2.24893
289,81,2.24556
290,82,2.24556
291,83,2.24893
292,84,2.26244
293,85,2.24893
294,86,2.26244
295,87,2.26413
296,88,2.24556
297,89,2.26413
298,90,2.24556
299,91,2.26413
300,92,2.24556
301,93,2.26244
302,94,2.24893
303,95,2.24556
304,96,2.24893
305,97,2.26244
306,98,2.23374
307,99,2.24556
