k,y(k),k_max,y_max,y0(=r),delta_time
0,0,19,2.46696,2.25,0.01
1,0.016897,,,,
2,0.106451,,,,
3,0.287248,,,,
4,0.471425,,,,
5,0.625188,,,,
6,0.851607,,,,
7,1.06451,,,,
8,1.25038,,,,
9,1.44469,,,,
10,1.63901,,,,
11,1.79446,,,,
12,1.94315,,,,
13,2.12902,,,,
14,2.2304,,,,
15,2.31151,,,,
16,2.38247,,,,
17,2.41627,,,,
18,2.46358,,,,
19,2.46696,,,,
20,2.46358,,,,
21,2.45006,,,,
22,2.43316,,,,
23,2.43316,,,,
24,2.41796,,,,
25,2.39937,,,,
26,2.39937,,,,
27,2.38754,,,,
28,2.38247,,,,
29,2.37233,,,,
30,2.31488,,,,
31,2.2963,,,,
32,2.26419,,,,
33,2.23547,,,,
34,2.2304,,,,
35,2.19661,,,,
36,2.20505,,,,
37,2.16281,,,,
38,2.17464,,,,
39,2.14592,,,,
40,2.12902,,,,
41,2.14592,,,,
42,2.11381,,,,
43,2.14592,,,,
44,2.11381,,,,
45,2.09522,,,,
46,2.12902,,,,
47,2.12902,,,,
48,2.17971,,,,
49,2.22026,,,,
50,2.2304,,,,
51,2.25068,,,,
52,2.28109,,,,
53,2.26588,,,,
54,2.28109,,,,
55,2.28109,,,,
56,2.28109,,,,
57,2.29799,,,,
58,2.28109,,,,
59,2.28109,,,,
60,2.25068,,,,
61,2.26419,,,,
62,2.28109,,,,
63,2.26419,,,,
64,2.25068,,,,
65,2.26419,,,,
66,2.2304,,,,
67,2.26588,,,,
68,2.2473,,,,
69,2.23547,,,,
70,2.2473,,,,
71,2.23547,,,,
72,2.26419,,,,
73,2.26588,,,,
74,2.2473,,,,
75,2.2473,,,,
76,2.25068,,,,
77,2.2304,,,,
78,2.25068,,,,
79,2.2473,,,,
80,2.25068,,,,
81,2.26419,,,,
82,2.26588,,,,
83,2.2473,,,,
84,2.26419,,,,
85,2.23547,,,,
86,2.26419,,,,
87,2.26588,,,,
88,2.2135,,,,
89,2.25068,,,,
90,2.26419,,,,
91,2.23547,,,,
92,2.2473,,,,
93,2.2473,,,,
94,2.23547,,,,
95,2.2473,,,,
96,2.25068,,,,
97,2.2473,,,,
98,2.23547,,,,
99,2.2473,,,,
100,2.23547,,,,
101,2.2304,,,,
102,2.25068,,,,
103,2.2473,,,,
104,2.26419,,,,
105,2.25068,,,,
106,2.2473,,,,
107,2.25068,,,,
108,2.26419,,,,
109,2.26588,,,,
110,2.2473,,,,
111,2.25068,,,,
112,2.26419,,,,
113,2.28109,,,,
114,2.25068,,,,
115,2.2304,,,,
116,2.28109,,,,
117,2.2473,,,,
118,2.23547,,,,
119,2.2473,,,,
120,2.25068,,,,
121,2.26419,,,,
122,2.2473,,,,
123,2.23547,,,,
124,2.2304,,,,
125,2.26588,,,,
126,2.2304,,,,
127,2.26588,,,,
128,2.2473,,,,
129,2.25068,,,,
130,2.26419,,,,
131,2.25068,,,,
132,2.2473,,,,
133,2.2473,,,,
134,2.25068,,,,
135,2.2473,,,,
136,2.23547,,,,
137,2.26419,,,,
138,2.25068,,,,
139,2.2304,,,,
140,2.25068,,,,
141,2.2473,,,,
142,2.25068,,,,
143,2.26419,,,,
144,2.2473,,,,
145,2.25068,,,,
146,2.26419,,,,
147,2.25068,,,,
