step,delta_time,data
0,0.01,0
1,0.009,0.016897
2,0.01,0.106451
3,0.009,0.287248
4,0.01,0.471425
5,0.009,0.625188
6,0.01,0.851607
7,0.009,1.06451
8,0.009,1.25038
9,0.01,1.44469
10,0.009,1.63901
11,0.01,1.79446
12,0.009,1.94315
13,0.01,2.12902
14,0.009,2.2304
15,0.01,2.31151
16,0.009,2.38247
17,0.009,2.41627
18,0.01,2.46358
19,0.009,2.46696
20,0.01,2.46358
21,0.009,2.45006
22,0.01,2.43316
23,0.009,2.43316
24,0.01,2.41796
25,0.009,2.39937
26,0.009,2.39937
27,0.01,2.38754
28,0.009,2.38247
29,0.01,2.37233
30,0.009,2.31488
31,0.01,2.2963
32,0.009,2.26419
33,0.01,2.23547
34,0.009,2.2304
35,0.009,2.19661
36,0.01,2.20505
37,0.009,2.16281
38,0.01,2.17464
39,0.009,2.14592
40,0.01,2.12902
41,0.009,2.14592
42,0.01,2.11381
43,0.009,2.14592
44,0.01,2.11381
45,0.009,2.09522
46,0.009,2.12902
47,0.01,2.12902
48,0.009,2.17971
49,0.01,2.22026
50,0.009,2.2304
51,0.01,2.25068
52,0.009,2.28109
53,0.01,2.26588
54,0.009,2.28109
55,0.01,2.28109
56,0.009,2.28109
57,0.009,2.29799
58,0.01,2.28109
59,0.009,2.28109
60,0.01,2.25068
61,0.009,2.26419
62,0.01,2.28109
63,0.009,2.26419
64,0.01,2.25068
65,0.009,2.26419
66,0.009,2.2304
67,0.01,2.26588
68,0.009,2.2473
69,0.01,2.23547
70,0.009,2.2473
71,0.01,2.23547
72,0.009,2.26419
73,0.01,2.26588
74,0.009,2.2473
75,0.009,2.2473
76,0.01,2.25068
77,0.009,2.2304
78,0.01,2.25068
79,0.009,2.2473
80,0.01,2.25068
81,0.009,2.26419
82,0.01,2.26588
83,0.009,2.2473
84,0.009,2.26419
85,0.01,2.23547
86,0.009,2.26419
87,0.01,2.26588
88,0.009,2.2135
89,0.01,2.25068
90,0.009,2.26419
91,0.01,2.23547
92,0.009,2.2473
93,0.009,2.2473
94,0.01,2.23547
95,0.009,2.2473
96,0.01,2.25068
97,0.009,2.2473
98,0.01,2.23547
99,0.009,2.2473
100,0.01,2.23547
101,0.009,2.2304
102,0.01,2.25068
103,0.009,2.2473
104,0.009,2.26419
105,0.01,2.25068
106,0.009,2.2473
107,0.01,2.25068
108,0.009,2.26419
109,0.01,2.26588
110,0.009,2.2473
111,0.01,2.25068
112,0.009,2.26419
113,0.009,2.28109
114,0.01,2.25068
115,0.009,2.2304
116,0.01,2.28109
117,0.009,2.2473
118,0.01,2.23547
119,0.009,2.2473
120,0.01,2.25068
121,0.009,2.26419
122,0.009,2.2473
123,0.01,2.23547
124,0.009,2.2304
125,0.01,2.26588
126,0.009,2.2304
127,0.01,2.26588
128,0.009,2.2473
129,0.01,2.25068
130,0.009,2.26419
131,0.01,2.25068
132,0.009,2.2473
133,0.009,2.2473
134,0.01,2.25068
135,0.009,2.2473
136,0.01,2.23547
137,0.009,2.26419
138,0.01,2.25068
139,0.009,2.2304
140,0.01,2.25068
141,0.009,2.2473
142,0.01,2.25068
143,0.009,2.26419
144,0.009,2.2473
145,0.01,2.25068
146,0.009,2.26419
147,0.01,2.25068
148,0.009,1.96005
149,0.01,1.47511
150,0.009,0.473115
151,0.009,-0.016897
152,0.01,-0.152073
153,0.009,-0.152073
154,0.01,-0.152073
155,0.009,-0.16897
156,0.01,-0.152073
157,0.009,-0.135176
158,0.01,-0.136865
159,0.009,-0.101382
160,0.01,-0.0912436
161,0.009,-0.0675879
162,0.009,-0.016897
163,0.01,0.0152073
164,0.009,0.0337939
165,0.01,0.0456218
166,0.009,0.0506909
167,0.01,0.0456218
168,0.009,0.0337939
169,0.01,0.0456218
170,0.009,0.0506909
171,0.009,0.0337939
172,0.01,0.0456218
173,0.009,0.0337939
174,0.01,0.0152073
175,0.009,0.016897
176,0.01,0.0152073
177,0.009,0
178,0.01,-0.0152073
179,0.009,0
180,0.009,-0.016897
181,0.01,-0.0152073
182,0.009,0
183,0.01,-0.0152073
184,0.009,-0.016897
185,0.01,-0.0152073
186,0.009,-0.016897
187,0.01,0
188,0.009,-0.016897
189,0.01,0
190,0.009,0
191,0.009,0.016897
192,0.01,0
193,0.009,0.016897
194,0.01,0
195,0.009,0.016897
196,0.01,0.0152073
197,0.009,0
198,0.01,0.0152073
199,0.009,0.016897
200,0.009,0.016897
201,0.01,0.0152073
202,0.009,0
203,0.01,0
204,0.009,0.016897
205,0.01,0
206,0.009,-0.016897
207,0.01,0
208,0.009,0
209,0.01,0
210,0.009,-0.016897
211,0.009,0
212,0.01,0
213,0.009,-0.016897
214,0.01,0
215,0.009,-0.016897
216,0.01,0
217,0.009,0
218,0.01,-0.0152073
219,0.009,0
220,0.009,0
221,0.01,-0.0152073
222,0.009,0
223,0.01,0.0152073
224,0.009,0
225,0.01,0
226,0.009,0
227,0.01,0
228,0.009,0.016897
229,0.009,0
230,0.01,0
231,0.009,0.016897
232,0.01,0
233,0.009,0
234,0.01,0
235,0.009,0.016897
236,0.146,-0.00104159
237,0.009,0
238,0.01,0
239,0.009,0
